ID,数据集,问题类型,问题,Single LLM,SmolAgent,OpenManus,Owl
45,tjh,Modeling,"Build a regression model to predict the maximum absolute difference between consecutive 'White blood cell count' measurements for a patient during their entire hospitalization ('AdmissionTime' to 'DischargeTime'). Your model should utilize the patient's static attributes (Sex, Age) and all available clinical measurements recorded within the first 48 hours from their 'AdmissionTime'. For patients with no 'White blood cell count' measurements or only one measurement across their entire stay, exclude them from the training/testing set. For patients with 'White blood cell count' measurements but none or only one within the first 48 hours, handle the missing early data appropriately.",错误; 数据预处理出错,错误,错误,正确
46,tjh,Modeling,"Build a regression model to predict the value of 'Hypersensitive c-reactive protein' for a patient on the day of their discharge ('DischargeTime'). Your model should utilize the patient's static attributes (Sex, Age) and the sequence of all clinical measurements recorded for that patient up to their last available record time ('RecordTime'). Patients who do not have 'Hypersensitive c-reactive protein' recorded at their 'DischargeTime' will require the model to infer or predict this value. Patients without any 'Hypersensitive c-reactive protein' measurements throughout their stay could be handled separately.",没有结果,结果符合要求，但正确性未知,结果符合要求，但正确性未知,没有结果
47,tjh,Modeling,"Build a regression model to predict the rate of change of 'Creatinine' for a patient during the first 48 hours of their hospitalization. The rate of change should be calculated as the slope of a linear fit to all 'Creatinine' measurements recorded between `AdmissionTime` and `AdmissionTime` + 48 hours (inclusive). Your model should utilize the patient's static attributes (Sex, Age) and all available clinical measurements recorded within the first 24 hours from their `AdmissionTime` (inclusive). Exclude patients who do not have at least two 'Creatinine' measurements recorded within the first 48 hours.",正确,结果符合要求，但正确性未知,结果符合要求，但正确性未知,结果符合要求，但正确性未知
48,tjh,Data,"Load the provided patient record data. Structure the data into a single table where each row represents a patient's record at a specific time point. Ensure that all unique clinical measurement types (`hemoglobin`, `Serum chloride`, etc.) across all records become columns in the final table. Handle missing values that arise from patients not having certain measurements at certain times, as well as potentially missing patient-specific attributes like `Sex` or `Age` in some records. ",正确,正确,正确,错误; 空白表格
49,tjh,Data,"Transform the longitudinal patient records into a single patient-level representation by aggregating time-varying clinical measurements. For each unique patient, retain static attributes like Sex, Age, Outcome, and Admission/Discharge times. For dynamic clinical measurements that appear across multiple records for a patient, calculate summary statistics. The final output should be a structured dataset where each row corresponds to a unique patient, containing their static features and the calculated aggregate values for all relevant clinical parameters. Handle potential missing values during aggregation by using appropriate strategies. ",正确,正确,正确,正确
50,tjh,Data,"Structure the patient records into longitudinal sequences for time-series analysis. Group the records by `PatientID` and order them chronologically using the `RecordTime`. Identify the complete set of unique clinical measurement features that appear across all patient records in the dataset (excluding static patient attributes like `PatientID`, `AdmissionTime`, `DischargeTime`, `Outcome`, `LOS`, `Sex`, and `Age`). For each patient, transform their ordered sequence of records into a sequence of feature vectors. Each vector in the sequence corresponds to a single time point (record) and contains values for all identified unique clinical measurement features. If a clinical feature was not measured at a specific `RecordTime` for a patient, represent its value in the corresponding feature vector using a placeholder for missing data. ",正确,正确,正确,错误; 只保存了python代码
51,mimic,Data,Count the number of unique PatientIDs that have at least one record where the 'Glascow coma scale total' is less than 10.,正确,正确,正确,正确
52,mimic,Data,Calculate the average value of the 'Heart Rate' field for all records where the 'Age' field is greater than 65 and the 'Oxygen saturation' field is less than 95.,正确,正确,正确,正确
53,mimic,Data,Find the minimum 'Mean blood pressure' for all records where the 'Age' is less than 40 and the 'LOS' (Length of Stay) is greater than 50.,正确,正确,正确,正确
54,mimic,Visualization,Visualize the trend of 'Heart Rate' over 'RecordTime' for a specific 'AdmissionID'. Plot the 'Heart Rate' values on the y-axis and 'RecordTime' on the x-axis to show how the patient's heart rate changed throughout that particular hospital admission.,正确,正确,正确,没有结果
55,mimic,Visualization,Create a box plot to compare the distribution of 'Heart Rate' for patients based on their 'Outcome' (0 or 1). Plot 'Outcome' on the x-axis and 'Heart Rate' on the y-axis to see if there's a noticeable difference in heart rate distributions between the two outcome groups.,正确,正确,正确,正确
56,mimic,Visualization,Create a scatter plot to visualize the relationship between Systolic blood pressure and Diastolic blood pressure. Plot 'Systolic blood pressure' on the x-axis and 'Diastolic blood pressure' on the y-axis to explore the correlation between these two vital signs across all records.,正确,正确,正确,正确
57,mimic,Visualization,Create a box plot to compare the distribution of 'Length of Stay (LOS)' for patients based on their 'Outcome'. Plot 'Outcome' (0 or 1) on the x-axis and 'LOS' on the y-axis to visualize how the distribution of hospital stay duration varies between patients with different outcomes.,正确,没有结果,正确,正确
58,mimic,Visualization,Create a scatter plot to visualize the relationship between 'Glucose' and 'Heart Rate'. Plot 'Glucose' on the x-axis and 'Heart Rate' on the y-axis to explore if there is any correlation or pattern between these two physiological measurements across all records.,正确,正确,正确,正确
59,mimic,Visualization,Create a box plot to compare the distribution of 'Weight' for patients based on their 'Sex'. Plot 'Sex' on the x-axis and 'Weight' on the y-axis to visualize how the distribution of patient weights differs between male (Sex=1) and female (Sex=0) patients.,正确,正确,正确,正确
60,mimic,Data,"Calculate the mean and standard deviation of 'Heart Rate', determine the count of records where 'Outcome' is 1, and count the number of 'nan' values in the 'Height' column.",正确,正确,正确,正确
61,mimic,Data,"Group the data by 'Sex' and, for each group, calculate the average 'Weight' and the standard deviation of 'Heart Rate'.",正确,正确,正确,正确
62,mimic,Data,"Calculate the median Length of Stay ('LOS') across all records. Additionally, calculate the Interquartile Range (IQR) of 'Weight' for all records where 'Sex' is 0.",正确,正确,正确,正确
63,mimic,Data,"For each unique hospital admission (identified by 'AdmissionID'), calculate the mean 'Heart Rate', 'Temperature', and 'Systolic blood pressure' across all recorded measurements for that admission. Handle missing values in these vital sign columns by excluding them from the average calculation.",正确,正确,正确,正确
64,mimic,Data,"For each unique hospital admission (identified by 'AdmissionID'), fill the missing numerical values in the clinical measurement columns using a forward fill approach within that admission group. If the first value within an admission for a specific column is still missing after the forward fill, use a backward fill for those remaining missing values within the same admission group.",没有结果,结果符合要求，但正确性未知,结果符合要求，但正确性未知,没有结果
65,mimic,Data,"For each unique hospital admission (identified by 'AdmissionID'), calculate the range (maximum value minus minimum value) for 'Systolic blood pressure' and 'Heart Rate' across all recorded measurements for that admission. Handle missing values in these columns by excluding them from the range calculation.",正确,正确,正确,正确
66,mimic,Visualization,"Build a predictive model to determine the likelihood of a patient being readmitted.
 
 1. **Data Preparation:** For each unique `AdmissionID`, extract and process relevant features from the time-series data. This could involve aggregating the time-series measurements. Combine these aggregated features with static patient/admission information ('Age', 'Sex', 'LOS', 'Outcome') to create a single feature vector per admission.
 2. **Missing Value Handling:** Address the missing values ('nan') in the dataset.
 3. **Model Training:** Train a binary classification model on the prepared admission-level dataset to predict the `Readmission` outcome.
 4. **Evaluation and Visualization:** Evaluate your model's performance using appropriate metrics for binary classification. Then, create a visualization that helps interpret the model or its results.",没有结果,结果符合要求，但正确性未知,结果符合要求，但正确性未知,没有结果
67,mimic,Visualization,"Build a predictive model to forecast the patient's `Outcome` using only the clinical data available within the first 24 hours of their admission to the ICU.
 
 1. **Data Preparation:** For each unique `AdmissionID`, identify the first `RecordTime`. Select all records (`RecordID`) associated with that `AdmissionID` whose `RecordTime` is within 24 hours of this initial time point. Aggregate the numerical clinical measurements from these early records. Calculate summary statistics for each measurement within this 24-hour window. Combine these aggregated features with static patient/admission characteristics available at the start of the stay ('Age', 'Sex'). 
 2. **Model Training:** Train a binary classification model on the prepared dataset (where each row represents an admission, and features are derived from the first 24 hours) to predict the `Outcome` (0 or 1).
 3. **Visualization:** Select two to three clinically relevant aggregated features that you calculated from the first 24 hours. Create comparative visualizations that display the distribution of these selected features separately for the two `Outcome` classes (patients with Outcome 0 and patients with Outcome 1). This visualization should help illustrate how the distribution of these key early physiological indicators differs based on the patient's final outcome.",正确,正确,正确,没有结果
68,mimic,Visualization,"Build a time-series predictive model to forecast the patient's `Outcome` using the sequence of clinical observations recorded during their stay. This differs from aggregating features by processing the temporal sequence directly.
 
 1. **Data Preparation:** Group the records by `AdmissionID`. For each admission, create sequences of the relevant numerical clinical measurements (`Capillary refill rate` through `pH`). Include static features like 'Age' and 'Sex' as appropriate inputs to your sequence model.
 2. **Model Training:** Train a sequence classification model to predict the binary `Outcome` for each admission based on the prepared sequences and static features. You might consider using the data up to a certain time horizon within each admission for training, or train models that can process sequences of varying lengths.
 3. **Evaluation and Visualization:** Evaluate your sequence model's performance using appropriate binary classification metrics. To fulfill the visualization requirement and analyze the temporal predictive power, create a plot that shows how a key performance metric changes when the model is trained and evaluated using progressively longer segments of the time-series data from the start of the admission. This visualization should illustrate how the predictability of the final `Outcome` evolves over the course of the patient's stay based on the available data.",没有结果,结果符合要求，但正确性未知,结果符合要求，但正确性未知,没有结果
69,mimic,Visualization,"Predict the `Outcome` for each admission by analyzing the longitudinal patterns and summary statistics of the clinical measurements over the patient's entire stay.
 
 1. **Data Preparation:** Group the records by `AdmissionID`. For each admission, engineer features from the time-series data (`Capillary refill rate` through `pH`) that capture not only the *summary statistics* but also *characteristics of the trajectory* for key physiological variables across the *entire* admission. Combine these engineered features with static patient/admission features (`Age`, `Sex`, `LOS`).
 2. **Model Training:** Train a binary classification model on the admission-level dataset prepared in step 1 to predict the `Outcome` (0 or 1).
 3. **Evaluation and Visualization:** Evaluate your model's performance. To fulfill the visualization requirement, select *at least two* engineered features that represent the *variability* or *trend* of a physiological measurement over time within the admission. Create comparative visualizations showing the distribution of these selected engineered features separately for patients with Outcome 0 and Outcome 1.",没有结果,结果符合要求，但正确性未知,结果符合要求，但正确性未知,没有结果
70,mimic,Visualization,"Build a model to predict whether a patient is likely to have a 'Short Stay' or a 'Long Stay', and to visualize characteristics of patients where the model makes prediction errors.
 
 1. **Data Preparation:**
  * Define 'Short Stay' and 'Long Stay' based on the `LOS`. Calculate the median `LOS` across all admissions.
  * For each unique `AdmissionID`, aggregate the time-series numerical clinical measurements by computing summary statistics. Include static features like 'Age', 'Sex', 'Outcome', and 'Readmission' in the aggregated dataset.
 
 2. **Model Training and Evaluation:**
  * Split the aggregated admission-level dataset into training and testing sets.
  * Train a binary classification model on the training data to predict the 'Short Stay' vs. 'Long Stay' outcome.
  * Evaluate the performance of your trained model on the test set using appropriate binary classification metrics.
 
 3. **Visualization of Prediction Errors vs. Patient Characteristics:**
  * Select *two* features from your aggregated dataset that represent different aspects of patient characteristics or clinical state .
  * Using the test set predictions, identify the instances that were misclassified by your model. Categorize these misclassified instances into False Positives (predicted 'Long Stay', actual 'Short Stay') and False Negatives (predicted 'Short Stay', actual 'Long Stay').
  * Create a scatter plot or a similar visualization showing the distribution or relationship between your two selected features *specifically* for the misclassified instances. Clearly distinguish between False Positives and False Negatives in the visualization. This plot should provide insights into the characteristics of patients that the model struggles to classify correctly, helping to diagnose model weaknesses.",正确,错误,正确,错误; 把python codes保存成csv了
71,mimic,Visualization,"Identify distinct groups (clusters) of patients based on their clinical state during the initial period of their admission and to visualize the distribution of the Length of Stay (`LOS`) for each identified group.
 
 1. **Data Preparation:**
  * For each unique `AdmissionID`, aggregate the numerical clinical measurements (`Capillary refill rate` through `pH`) taken within the first 24 hours of the admission. Calculate summary statistics for each measurement across this time window. If a measurement is not recorded within the first 24 hours for a specific admission, handle it appropriately.
  * Combine these aggregated features with the static patient/admission features available early on ('Age', 'Sex').
  * Create a single feature vector for each `AdmissionID`.
 
 2. **Patient Clustering:**
  * Apply a clustering algorithm to the prepared admission-level dataset (using the features derived from the first 24 hours). Choose a suitable number of clusters.
  * Assign each admission to its corresponding cluster.
 
 3. **Visualization of Length of Stay per Cluster:**
  * Create a comparative visualization that displays the distribution of the `LOS` for patients in each of the identified clusters. 
  * The visualization should clearly show the differences (or similarities) in `LOS` distributions across the patient groups defined by their early clinical profiles.",没有结果,结果符合要求，但正确性未知,结果符合要求，但正确性未知,没有结果
72,mimic,Reporting,"Analyze the provided patient admission data to identify which clinical measurements (such as vital signs, GCS scores, glucose, pH), demographic features (age, sex), or admission-specific details (LOS) are most significantly associated with the patient `Outcome`. Generate a report summarizing the key findings, including descriptive statistics comparing the distributions of relevant factors for different outcome groups and an analysis of which variables show the strongest statistical association or predictive power regarding the outcome.",正确,正确,"只生成报告, 没有分析图",正确
73,mimic,Reporting,"Investigate the temporal dynamics of patient health status during hospitalization using the provided dataset. The task is to analyze how key clinical measurements (e.g., Heart Rate, Blood Pressure, Temperature, Oxygen saturation, Glucose, GCS scores) evolve over the course of an admission. Generate a report that summarizes the typical patterns of these measurements over time for different patient outcomes (e.g., those with Outcome=0 vs. Outcome=1) or readmission statuses. The report should include visualizations showing variable trajectories and identify significant trends or critical points in the time series data that may distinguish patient groups.",没有报告,正确,正确,没有结果
74,mimic,Reporting,"Analyze the provided patient admission data to identify demographic and initial clinical characteristics associated with patient readmission. Focus on analyzing patient-level data, aggregating or selecting features from the start of each admission (identified by `AdmissionID`), such as Age, Sex, and clinical measurements from the earliest available `RecordTime` within an admission. Investigate which of these initial features or patient demographic factors are significantly correlated with or predictive of the `Readmission` flag. Generate a report summarizing the key findings, including descriptive statistics comparing initial characteristics of readmitted vs. non-readmitted patients and an analysis identifying the most influential predictors of readmission risk.",正确,正确,正确,正确
75,mimic,Reporting,"Investigate the patterns and potential implications of missing clinical data within the provided dataset. The task is to identify which clinical measurements (`Capillary refill rate`, `Diastolic blood pressure`, ..., `pH`) have the highest percentages of missing values (`nan`). Analyze whether the missingness of specific measurements is correlated with patient demographics (`Age`, `Sex`), patient outcomes (`Outcome`), or the total length of stay (`LOS`). Furthermore, explore if there are any observable relationships between the overall level or pattern of missingness across multiple variables within an admission and the patient's `Readmission` status. Generate a report summarizing these findings on missing data distribution, including variable-specific missingness rates and any statistically significant associations found between missing data patterns and patient characteristics or outcomes.",正确,正确,"正确, 只有报告","正确, 只有报告"
76,mimic,Reporting,"Analyze the impact of maximum physiological severity during a hospital admission on patient outcomes. For each unique `AdmissionID`, calculate the 'worst' value observed across the entire stay for key vital signs and clinical scores (e.g., minimum Oxygen saturation, maximum Heart Rate, minimum Glascow coma scale total, etc.). Investigate the correlation and association of these worst-case values with patient `Outcome` (hospital mortality) and `LOS` (Length of Stay). Generate a report summarizing the calculated peak severity metrics, their distribution relative to patient outcomes, and the statistical relationships found with hospital mortality and length of stay.",正确,正确,正确,正确; 但是没有报告
77,mimic,Reporting,"Investigate the relationship between the variability of key physiological measurements observed during a patient's hospitalization and their Length of Stay (`LOS`). For each unique `AdmissionID`, calculate measures of variability (such as standard deviation, interquartile range, or range) for critical vital signs and clinical parameters like `Heart Rate`, `Mean blood pressure`, `Oxygen saturation`, and `Temperature`, considering all recorded values within that specific admission. Analyze the correlation between these computed variability metrics and the `LOS` for each admission. Generate a report summarizing the findings, including descriptive statistics of the variability measures across the dataset and the statistical associations found between measurement variability and the duration of hospitalization (`LOS`).",没有结果,结果符合要求，但正确性未知,结果符合要求，但正确性未知,错误; 结果不完整
78,mimic,Reporting,"Investigate the association between the early rate of physiological change during a patient's hospitalization and subsequent clinical outcomes. For each hospital admission (`AdmissionID`), identify the change in key physiological measurements (such as Heart Rate, Mean blood pressure, Oxygen saturation, or Glascow coma scale total) between the first recorded value and values recorded within the initial 12 to 24 hours of admission. Analyze whether the magnitude and direction of this early change are statistically associated with the patient's `Outcome` (hospital mortality) or `LOS` (Length of Stay). Generate a report summarizing the calculated early change metrics and their relationship to these patient outcomes, highlighting any significant findings.",没有结果,没有结果(结果空白),结果符合要求，但正确性未知,没有结果
79,mimic,Reporting,"Investigate the association between the Length of Stay (LOS) of a hospital admission and the patient's Readmission status. The task involves analyzing the provided data grouped by unique hospital admissions (`AdmissionID`). For each admission, the total `LOS` and the `Readmission` flag are available. Compare the distribution of `LOS` for admissions that resulted in a readmission (`Readmission` = 1) versus those that did not (`Readmission` = 0). Generate a report detailing this comparison, including descriptive statistics (mean, median, spread) for `LOS` in each readmission group and the results of statistical tests assessing whether the observed difference in `LOS` distributions is statistically significant.",代码符合要求，但正确性未知,结果符合要求，但正确性未知,结果符合要求，但正确性未知,结果符合要求，但正确性未知
80,mimic,Reporting,"Investigate the association between the average physiological state during a patient's hospitalization and their clinical outcome (hospital mortality). For each unique `AdmissionID`, calculate the mean value for a selection of continuous clinical measurements (e.g., `Heart Rate`, `Mean blood pressure`, `Oxygen saturation`, `Temperature`, `Glucose`, and `pH`) across all available records for that specific admission. Analyze the relationship between these calculated average values representing the typical physiological state during the stay and the patient's `Outcome` (where 1 indicates mortality). Generate a report summarizing the distribution of these average physiological metrics for patients who survived versus those who did not, and quantify the statistical association or predictive power of these average states with hospital mortality.",代码符合要求，但正确性未知,结果符合要求，但正确性未知,结果符合要求，但正确性未知,结果符合要求，但正确性未知
81,mimic,Reporting,"Investigate the internal consistency of the Glascow Coma Scale (GCS) components and their individual association with patient outcome. The task requires analyzing the relationship between the recorded Glascow coma scale eye opening, motor response, and verbal response scores and the reported Glascow coma scale total. Specifically, assess how often the sum of the individual components matches the reported total GCS score and analyze if specific individual component scores or their distributions are significantly associated with patient Outcome (0 or 1), independently or in combination, perhaps revealing insights not captured by the total score alone. Generate a report summarizing the findings, including the rate of GCS component-total inconsistency and the distribution and association analysis of individual components with patient outcome.",代码符合要求，但正确性未知,结果符合要求，但正确性未知,结果符合要求，但正确性未知,结果符合要求，但正确性未知
82,mimic,Reporting,"Investigate the interplay between patient age and physiological status in predicting hospital mortality. The task is to analyze how the association between a key physiological indicator reflecting patient severity during hospitalization (e.g., the lowest recorded Oxygen saturation or lowest Glascow coma scale total for each admission) and the patient's outcome (`Outcome`, hospital mortality) is influenced by the patient's `Age`. Conduct an analysis to explore if this relationship varies across different age ranges or if there is a statistical interaction effect between age and the chosen physiological indicator on the likelihood of mortality. Generate a report summarizing the findings, including descriptive statistics of the chosen physiological indicator and outcome across different age groups, and quantifying the evidence for age-dependent prognostic value of the indicator.",没有结果,结果符合要求，但正确性未知,结果符合要求，但正确性未知,结果符合要求，但正确性未知
83,mimic,Reporting,"Investigate the frequency and patterns of simultaneous occurrences of clinically significant abnormal vital sign values during hospital admissions. Define clinically relevant thresholds for critical ranges for key vital signs (e.g., Heart Rate, Mean blood pressure, Respiratory rate, Oxygen saturation, Temperature, Glucose, pH). For each record (`RecordID`), identify which of these vital signs fall outside their defined normal or critical ranges. Analyze if the number of simultaneously abnormal vital signs or specific combinations of abnormal vital signs recorded at any single time point within an admission are associated with patient outcomes (`Outcome` - hospital mortality, `LOS` - length of stay, `Readmission`). Generate a report summarizing the thresholds used, the prevalence of simultaneous vital sign abnormalities across the dataset, and the statistical association between these co-occurrence patterns (e.g., number of abnormal signs, specific combinations) and patient outcomes.",没有结果,结果符合要求，但正确性未知,结果符合要求，但正确性未知,结果符合要求，但正确性未知
84,mimic,Reporting,"Analyze the provided patient admission data to predict the Length of Stay (LOS) for each hospital admission (`AdmissionID`). The task is to build a predictive model using patient demographic information (`Age`, `Sex`) and clinical measurements recorded within the first 24 hours of each admission. For each `AdmissionID`, process the records to extract relevant features from the initial phase of the hospitalization, such as the first recorded value or the mean value within the first day for applicable clinical measurements (e.g., `Heart Rate`, `Mean blood pressure`, `Temperature`, `Glucose`, `Glascow coma scale total`). Handle missing values appropriately. Train a regression model to predict `LOS` using these early-phase features. Investigate which features or combinations of features are the most significant predictors of `LOS`. Generate a report summarizing the predictive performance of the model, including evaluation metrics (e.g., R-squared, RMSE) and an analysis highlighting the importance of the identified predictor variables for `LOS`.",正确,正确,正确,没有结果
85,mimic,Modeling,"Develop a predictive model to classify the hospital outcome for patients using the provided physiological measurements, demographic information, and admission characteristics.",正确,正确,正确,没有结果
86,mimic,Modeling,"Develop a predictive model using the provided dataset to classify whether a patient will be readmitted to the hospital ('Readmission' column) based on their demographic information, physiological measurements, and admission characteristics.",正确,正确,错误; 结果错误,错误; 只保存了preprocessed train/test data
87,mimic,Modeling,"Develop a regression model to predict the Length of Stay (LOS) for each patient admission. The model should utilize the provided demographic information (Age, Sex), physiological measurements (Capillary refill rate, Diastolic blood pressure, Fraction inspired oxygen, Glascow coma scale scores, Glucose, Heart Rate, Height, Mean blood pressure, Oxygen saturation, Respiratory rate, Systolic blood pressure, Temperature, Weight, pH), and admission characteristics. Consider how to aggregate or utilize the multiple records available for a single admission to make the prediction for that admission.",错误; 预处理出问题,错误,正确(相对来说结果更可靠一些),没有结果
88,mimic,Modeling,"Develop a time-series forecasting model to predict the value of a specific physiological measurement, for a patient at the next recorded time point within their hospital admission. The model should utilize the sequence of available physiological measurements and demographic information up to the current time point for that patient admission.",没有结果,错误; 没有结果,结果符合要求，但正确性未知,错误; 只保存了preprocessed train/test data
89,mimic,Modeling,"Develop a time-series classification model to predict the short-term risk of clinical deterioration for hospitalized patients. Specifically, train a model using the provided physiological measurements and patient demographics to predict, at any given recorded time point during a patient's admission, whether a significant clinical deterioration event will occur within the subsequent 24 hours. The definition of 'significant clinical deterioration' should be established based on critical changes or thresholds in the provided physiological parameters.",正确,错误,没有保存metrics,没有结果
90,mimic,Modeling,Develop a regression model to predict the overall physiological instability observed during a patient's hospital admission. Physiological instability can be quantified by calculating the average variability of key vital signs over the entire duration of the admission. The model should utilize the available physiological measurements and demographic information recorded within the first 48 hours of the admission to make this prediction.,错误; RMSE都1万多了,正确(相对来说结果更可靠一些),错误; 只保存了preprocessed train/test data和model weights,没有结果
91,mimic,Modeling,"Develop a predictive model to estimate the patient's Glasgow Coma Scale Total score approximately 24 hours after their hospital admission begins. The model should utilize patient demographic information (Age, Sex) and physiological measurements recorded within the first few hours of the admission. Consider appropriate data processing to handle multiple records per patient admission and define the target variable as the GCS Total score recorded closest to the 24-hour mark, or a suitable aggregate if multiple records exist around that time.",没有结果,结果符合要求，但正确性未知,没有结果,没有结果
92,mimic,Modeling,"Develop a predictive model to classify whether a patient's Respiratory Rate ('Respiratory rate') will exceed a threshold of 30 at any point *after* the first 24 hours of their admission, using only data recorded within the first 24 hours of that admission. The model should process the time-series data available in the initial period and predict this future binary outcome.",错误,没有结果,错误; 只保存了preprocessed train/test data,没有结果
93,mimic,Modeling,"Develop a regression model to predict the average value of the 'Heart Rate' physiological measurement over the entire duration of a patient's hospital admission. The model should use patient demographic information (Age, Sex) and physiological measurements recorded *only within the first 12 hours* of that specific admission as input features. You will need to calculate the target variable (average Heart Rate) for each admission by taking the mean of all 'Heart Rate' records available for that AdmissionID, and extract/aggregate features from the records associated with that AdmissionID that fall within the initial 12-hour window.",正确,正确,错误,没有结果
94,mimic,Modeling,"Develop a binary classification model to predict, for a given record representing a time point within a patient's hospital admission, whether the 'pH' physiological measurement will be missing ('nan') in the *next* recorded time point for that same admission. The model should utilize the physiological measurements and demographic information available at the current time point as input features.",正确,正确,正确,没有结果
95,mimic,Modeling,"Develop a binary classification model to predict for each hospital admission (identified by `AdmissionID`), whether the physiological measurements recorded in the *final* record for that admission indicate a state of ""Respiratory Concern"". Define ""Respiratory Concern"" as meeting *at least one* of the following criteria in the *last* record for that admission: 1. Respiratory Rate > 25 breaths/min, 2. Oxygen saturation < 90%. The model should be trained using the demographic information (`Age`, `Sex`) and *all physiological measurements recorded up to the penultimate (second to last) record* for each admission.",正确,"正确; 但是只保存了prediction结果, 没有metrics",正确; 只保存了preprocessed train/test data,错误; 只保存了preprocessed train/test data
96,mimic,Modeling,"Develop a binary classification model to predict, for each hospital admission (identified by `AdmissionID`), whether the patient's Systolic Blood Pressure ('Systolic blood pressure') will fall below 90 mmHg at *any point* during that entire admission. The model should utilize patient demographic information (`Age`, `Sex`) and physiological measurements recorded *only within the first 24 hours* of that specific admission as input features.",正确,错误; 只生成冗余文件,错误,没有结果
97,mimic,Modeling,"Develop a binary classification model to predict, for each hospital admission (identified by `AdmissionID`), whether the patient will experience at least one record exhibiting ""Severe Hypotension and Tachycardia"" at any point during their entire hospital stay. Define ""Severe Hypotension and Tachycardia"" as any record where the Mean Blood Pressure (`Mean blood pressure`) is less than 60 mmHg AND the Heart Rate (`Heart Rate`) is greater than 100 beats per minute. The model should be trained using patient demographic information (`Age`, `Sex`) and all physiological measurements recorded within the first 24 hours of that specific admission as input features.",正确,正确,没有结果,没有结果
98,mimic,Data,"Preprocess the dataset by first imputing missing values in numerical columns using the column mean across the entire dataset. Then, aggregate the records for each `AdmissionID` into a single row. For the imputed numerical columns, calculate the mean value across all records belonging to that `AdmissionID`. For columns that are constant within an `AdmissionID`, retain their value from any one record for that `AdmissionID`. The final output should have one row per unique `AdmissionID`.",结果符合要求，但正确性未知,结果符合要求，但正确性未知,结果符合要求，但正确性未知,没有结果
99,mimic,Data,"Preprocess the dataset by first sorting records by `AdmissionID` and `RecordTime`. Then, for each `AdmissionID`, impute missing values in numerical columns using forward fill, followed by backward fill for any remaining NaNs at the start of a sequence. If a column is entirely NaN for an `AdmissionID`, impute with 0. After imputation, aggregate the records for each `AdmissionID` into a single row. For the imputed numerical columns, retain the value from the last record within that `AdmissionID`. For columns that are constant within an `AdmissionID`, retain their value from any one record for that `AdmissionID`. The final output should have one row per unique `AdmissionID`.",没有结果,结果符合要求，但正确性未知,没有结果,没有结果
100,mimic,Data,"Preprocess the dataset by first handling missing values in numerical columns within each `AdmissionID`. For each numerical column, impute missing values using the mean of the non-missing values within that specific `AdmissionID`. If a numerical column is entirely missing for a given `AdmissionID`, impute with 0. After imputation, aggregate the records for each `AdmissionID` into a single row. For each imputed numerical column, calculate the mean, standard deviation, minimum, and maximum values across all records belonging to that `AdmissionID`, creating new features. For columns that are constant within an `AdmissionID`, retain their value from any one record for that `AdmissionID`. The final output should have one row per unique `AdmissionID`.",正确,正确,没有结果,没有结果
